(-1.1944710698585093, -4.0710243014837273), (-0.3168885079681365, -3.5915987628795243), (-1.6738966084627123, -3.1934417395933545)
(-1.1944710698585093, -4.0710243014837273), (-0.3168885079681365, -3.5915987628795243), (-1.6738966084627123, -3.1934417395933545)
(-1.1944710698585093, -4.0710243014837273), (-0.3168885079681365, -3.5915987628795243), (-1.6738966084627123, -3.1934417395933545)
(-1.1944710698585093, -4.0710243014837273), (-0.3168885079681365, -3.5915987628795243), (-1.6738966084627123, -3.1934417395933545)
(-1.1944710698585093, -4.0710243014837273), (-0.3168885079681365, -3.5915987628795243), (-1.6738966084627123, -3.1934417395933545)
(-1.1944710698585093, -4.0710243014837273), (-0.3168885079681365, -3.5915987628795243), (-1.6738966084627123, -3.1934417395933545)
(-1.6738966084627123, -3.1934417395933545), (-0.79631404657233951, -2.7140162009891515), (-0.3168885079681365, -3.5915987628795243)
(-1.6738966084627123, -3.1934417395933545), (-0.79631404657233951, -2.7140162009891515), (-0.3168885079681365, -3.5915987628795243)
(-1.6738966084627123, -3.1934417395933545), (-0.79631404657233951, -2.7140162009891515), (-0.3168885079681365, -3.5915987628795243)
(-1.6738966084627123, -3.1934417395933545), (-0.79631404657233951, -2.7140162009891515), (-0.3168885079681365, -3.5915987628795243)
(-1.6738966084627123, -3.1934417395933545), (-0.79631404657233951, -2.7140162009891515), (-0.3168885079681365, -3.5915987628795243)
(-1.6738966084627123, -3.1934417395933545), (-0.79631404657233951, -2.7140162009891515), (-0.3168885079681365, -3.5915987628795243)
(-1.6738966084627123, -3.1934417395933545), (-0.79631404657233951, -2.7140162009891515), (-2.1533221470669153, -2.3158591777029818)
(-1.6738966084627123, -3.1934417395933545), (-0.79631404657233951, -2.7140162009891515), (-2.1533221470669153, -2.3158591777029818)
(-1.6738966084627123, -3.1934417395933545), (-0.79631404657233951, -2.7140162009891515), (-2.1533221470669153, -2.3158591777029818)
(-1.6738966084627123, -3.1934417395933545), (-0.79631404657233951, -2.7140162009891515), (-2.1533221470669153, -2.3158591777029818)
(-1.6738966084627123, -3.1934417395933545), (-0.79631404657233951, -2.7140162009891515), (-2.1533221470669153, -2.3158591777029818)
(-1.6738966084627123, -3.1934417395933545), (-0.79631404657233951, -2.7140162009891515), (-2.1533221470669153, -2.3158591777029818)
(-2.1533221470669153, -2.3158591777029818), (-1.2757395851765425, -1.8364336390987788), (-0.79631404657233951, -2.7140162009891515)
(-2.1533221470669153, -2.3158591777029818), (-1.2757395851765425, -1.8364336390987788), (-0.79631404657233951, -2.7140162009891515)
(-2.1533221470669153, -2.3158591777029818), (-1.2757395851765425, -1.8364336390987788), (-0.79631404657233951, -2.7140162009891515)
(-2.1533221470669153, -2.3158591777029818), (-1.2757395851765425, -1.8364336390987788), (-0.79631404657233951, -2.7140162009891515)
(-2.1533221470669153, -2.3158591777029818), (-1.2757395851765425, -1.8364336390987788), (-0.79631404657233951, -2.7140162009891515)
(-2.1533221470669153, -2.3158591777029818), (-1.2757395851765425, -1.8364336390987788), (-0.79631404657233951, -2.7140162009891515)
(-2.1533221470669153, -2.3158591777029818), (-1.2757395851765425, -1.8364336390987788), (-2.6327476856711183, -1.438276615812609)
(-2.1533221470669153, -2.3158591777029818), (-1.2757395851765425, -1.8364336390987788), (-2.6327476856711183, -1.438276615812609)
(-2.1533221470669153, -2.3158591777029818), (-1.2757395851765425, -1.8364336390987788), (-2.6327476856711183, -1.438276615812609)
(-2.1533221470669153, -2.3158591777029818), (-1.2757395851765425, -1.8364336390987788), (-2.6327476856711183, -1.438276615812609)
(-2.1533221470669153, -2.3158591777029818), (-1.2757395851765425, -1.8364336390987788), (-2.6327476856711183, -1.438276615812609)
(-2.1533221470669153, -2.3158591777029818), (-1.2757395851765425, -1.8364336390987788), (-2.6327476856711183, -1.438276615812609)
(-2.6327476856711183, -1.438276615812609), (-1.7551651237807455, -0.95885107720840601), (-1.2757395851765425, -1.8364336390987788)
(-2.6327476856711183, -1.438276615812609), (-1.7551651237807455, -0.95885107720840601), (-1.2757395851765425, -1.8364336390987788)
(-2.6327476856711183, -1.438276615812609), (-1.7551651237807455, -0.95885107720840601), (-1.2757395851765425, -1.8364336390987788)
(-2.6327476856711183, -1.438276615812609), (-1.7551651237807455, -0.95885107720840601), (-1.2757395851765425, -1.8364336390987788)
(-2.6327476856711183, -1.438276615812609), (-1.7551651237807455, -0.95885107720840601), (-1.2757395851765425, -1.8364336390987788)
(-2.6327476856711183, -1.438276615812609), (-1.7551651237807455, -0.95885107720840601), (-1.2757395851765425, -1.8364336390987788)
(-2.6327476856711183, -1.438276615812609), (-1.7551651237807455, -0.95885107720840601), (-3.1121732242753213, -0.56069405392223626)
(-2.6327476856711183, -1.438276615812609), (-1.7551651237807455, -0.95885107720840601), (-3.1121732242753213, -0.56069405392223626)
(-2.6327476856711183, -1.438276615812609), (-1.7551651237807455, -0.95885107720840601), (-3.1121732242753213, -0.56069405392223626)
(-2.6327476856711183, -1.438276615812609), (-1.7551651237807455, -0.95885107720840601), (-3.1121732242753213, -0.56069405392223626)
(-2.6327476856711183, -1.438276615812609), (-1.7551651237807455, -0.95885107720840601), (-3.1121732242753213, -0.56069405392223626)
(-2.6327476856711183, -1.438276615812609), (-1.7551651237807455, -0.95885107720840601), (-3.1121732242753213, -0.56069405392223626)
(-3.1121732242753213, -0.56069405392223626), (-2.2345906623849485, -0.081268515318033252), (-1.7551651237807455, -0.95885107720840601)
(-3.1121732242753213, -0.56069405392223626), (-2.2345906623849485, -0.081268515318033252), (-1.7551651237807455, -0.95885107720840601)
(-3.1121732242753213, -0.56069405392223626), (-2.2345906623849485, -0.081268515318033252), (-1.7551651237807455, -0.95885107720840601)
(-3.1121732242753213, -0.56069405392223626), (-2.2345906623849485, -0.081268515318033252), (-1.7551651237807455, -0.95885107720840601)
(-3.1121732242753213, -0.56069405392223626), (-2.2345906623849485, -0.081268515318033252), (-1.7551651237807455, -0.95885107720840601)
(-3.1121732242753213, -0.56069405392223626), (-2.2345906623849485, -0.081268515318033252), (-1.7551651237807455, -0.95885107720840601)
(-3.1121732242753213, -0.56069405392223626), (-2.2345906623849485, -0.081268515318033252), (-3.5915987628795243, 0.3168885079681365)
(-3.1121732242753213, -0.56069405392223626), (-2.2345906623849485, -0.081268515318033252), (-3.5915987628795243, 0.3168885079681365)
(-3.1121732242753213, -0.56069405392223626), (-2.2345906623849485, -0.081268515318033252), (-3.5915987628795243, 0.3168885079681365)
(-3.1121732242753213, -0.56069405392223626), (-2.2345906623849485, -0.081268515318033252), (-3.5915987628795243, 0.3168885079681365)
(-3.1121732242753213, -0.56069405392223626), (-2.2345906623849485, -0.081268515318033252), (-3.5915987628795243, 0.3168885079681365)
(-3.1121732242753213, -0.56069405392223626), (-2.2345906623849485, -0.081268515318033252), (-3.5915987628795243, 0.3168885079681365)
(-3.5915987628795243, 0.3168885079681365), (-2.7140162009891515, 0.79631404657233951), (-2.2345906623849485, -0.081268515318033252)
(-3.5915987628795243, 0.3168885079681365), (-2.7140162009891515, 0.79631404657233951), (-2.2345906623849485, -0.081268515318033252)
(-3.5915987628795243, 0.3168885079681365), (-2.7140162009891515, 0.79631404657233951), (-2.2345906623849485, -0.081268515318033252)
(-3.5915987628795243, 0.3168885079681365), (-2.7140162009891515, 0.79631404657233951), (-2.2345906623849485, -0.081268515318033252)
(-3.5915987628795243, 0.3168885079681365), (-2.7140162009891515, 0.79631404657233951), (-2.2345906623849485, -0.081268515318033252)
(-3.5915987628795243, 0.3168885079681365), (-2.7140162009891515, 0.79631404657233951), (-2.2345906623849485, -0.081268515318033252)
